Tamb,I,Tcoolant_in,mass_flowrate_optimal
42.3,214,24.55775698036864,0.00636326530612245
33.7,97,23.939425906788077,0.004948979591836736
35.6,287,25.064088467692574,0.004544897959183674
37.3,487,24.513840321108496,0.0001
39.0,670,30.47142078230878,0.0015142857142857145
40.7,823,26.0385256340705,0.0001
42.3,933,26.334331652693976,0.0001
43.7,982,22.58576786603698,0.0001
44.6,964,25.245286224060102,0.0001
45.1,887,29.210274699909576,0.0001
45.3,738,24.575384681121037,0.0001
44.1,396,24.644229557821916,0.006161224489795919
42.1,194,22.926462391043458,0.0065653061224489806
32.9,90,28.62523152940686,0.00333265306122449
35.300000000000004,279,24.74146138347641,0.004746938775510205
38.2,484,23.15130169268746,0.0001
40.8,674,23.63501510765165,0.0001
42.8,833,24.45196175172581,0.0001
44.400000000000006,946,26.384466651985722,0.0001
45.5,995,23.65383601466086,0.0001
46.0,979,24.234536555823794,0.0001
46.2,901,24.888624404517294,0.0001
45.900000000000006,774,25.1784647185267,0.0001
45.1,602,25.135558434331493,0.0001
43.900000000000006,403,26.857421717463694,0.005757142857142858
42.0,198,25.22418985172017,0.006161224489795919
36.3,267,24.129985932394682,0.005151020408163266
44.3,933,22.940609724386825,0.0001
45.5,938,22.508906413924652,0.0001
46.3,969,27.543633689152156,0.0001
46.5,896,23.01844313273792,0.0001
46.3,768,24.41840840292173,0.0001
45.7,597,26.172765062093998,0.0001
44.6,398,26.668582069323477,0.005959183673469389
42.8,195,20.956953678923327,0.006969387755102042
38.1,274,27.359092531033912,0.004746938775510205
40.8,484,34.40878579651981,0.0015142857142857145
42.6,680,26.798782424661496,0.0001
44.2,835,25.917124144921008,0.0001
45.5,941,28.385868626432714,0.0001
46.400000000000006,992,23.49237571915971,0.0001
47.0,982,23.724880723565747,0.0001
47.3,912,28.887825356332122,0.0001
47.1,786,25.922759674797323,0.0001
46.400000000000006,615,25.33278491371871,0.005959183673469389
45.2,414,23.684765300478976,0.0065653061224489806
43.0,206,24.7066522004623,0.00636326530612245
34.1,93,26.073234270579697,0.004544897959183674
37.4,287,19.813440806247606,0.006161224489795919
40.2,494,25.60187125604741,0.0001
42.2,685,20.159536404101296,0.0001
43.8,842,23.50911260279909,0.0001
45.2,950,24.712574039103526,0.0001
46.2,999,21.1042033271487,0.0001
46.8,984,25.60390410637371,0.0001
47.1,909,29.023207812606493,0.0001
46.900000000000006,783,23.653851798630733,0.0001
46.3,604,27.89755925044326,0.0001
45.3,412,22.479306631117204,0.006767346938775511
43.1,204,21.603882093938356,0.006969387755102042
34.4,93,25.311773828519172,0.004948979591836736
37.7,288,30.470190129974746,0.0035346938775510208
40.6,497,27.68333622414167,0.0001
42.6,690,21.84515560378723,0.0001
44.3,829,24.47444109380371,0.0001
47.3,993,23.51897687214241,0.0001
47.6,919,22.965306543339885,0.0001
47.6,792,27.065890260146126,0.0001
47.1,618,24.76760883369091,0.006161224489795919
46.2,416,26.215790898904505,0.00636326530612245
43.8,207,26.123794865278313,0.00636326530612245
33.9,92,21.318507642602604,0.005555102040816327
37.3,289,25.707527513438194,0.004948979591836736
40.8,498,27.337210088078773,0.0001
42.900000000000006,691,24.030981898593403,0.0001
44.5,849,24.70212687285279,0.0001
45.8,960,25.4079137962918,0.0001
46.900000000000006,1013,22.541357900184792,0.0001
47.8,1001,23.504416008125954,0.0001
48.3,928,24.477725688142005,0.0001
48.400000000000006,800,26.957881342782542,0.0001
48.0,624,20.347891909575857,0.006969387755102042
47.0,421,25.335813960687304,0.0065653061224489806
44.5,209,26.72759001095141,0.00636326530612245
32.4,86,24.25832338800717,0.004746938775510205
34.4,274,28.67550394085193,0.002928571428571429
36.9,485,28.070273702101943,0.00333265306122449
42.1,719,26.744211482547723,0.0001
41.400000000000006,379,22.657660207708417,0.006161224489795919
39.900000000000006,189,22.343123892942785,0.00636326530612245
31.8,77,22.195805561746056,0.004948979591836736
41.7,849,22.925011961018505,0.0001
40.900000000000006,733,21.69812071097385,0.0001
39.0,442,27.60954794732415,0.004342857142857144
40.900000000000006,652,26.369931304881636,0.0001
42.400000000000006,783,24.789562621419467,0.0001
45.1,893,24.253031898708098,0.0001
44.900000000000006,766,25.43847813593571,0.0001
44.400000000000006,593,22.31544361493232,0.006161224489795919
43.5,393,24.022294551599924,0.006161224489795919
41.6,189,21.66683939432021,0.006767346938775511
34.1,80,25.429398203082474,0.004746938775510205
37.4,269,25.918079537380393,0.004948979591836736
40.6,475,27.779249363940938,0.004544897959183674
46.2,970,25.30081926640633,0.0001
46.7,755,19.753882669711558,0.006767346938775511
45.1,388,20.09757841019251,0.0071714285714285725
43.2,185,30.19014345561323,0.005555102040816327
42.1,479,25.88663263703987,0.0001
44.1,672,28.357150163570843,0.0001
45.5,821,22.500804502395688,0.0001
47.400000000000006,991,23.416382247808595,0.0001
47.900000000000006,976,26.597569478630255,0.0001
